"","cohesion","aggregation","p0","param","coverage","Model"
"1","0",1,"0.05","N",0.77,"SPIM: collar"
"2","0",1,"0.05","sigma",0.78,"SPIM: collar"
"3","0",1,"0.2","N",0.21,"SPIM: collar"
"4","0",1,"0.2","sigma",0.75,"SPIM: collar"
"5","0",4,"0.05","N",0.65,"SPIM: collar"
"6","0",4,"0.05","sigma",0.68,"SPIM: collar"
"7","0",4,"0.2","N",0.6,"SPIM: collar"
"8","0",4,"0.2","sigma",0.76,"SPIM: collar"
"9","0",10,"0.05","N",0.29,"SPIM: collar"
"10","0",10,"0.05","sigma",0.69,"SPIM: collar"
"11","0",10,"0.2","N",0.55,"SPIM: collar"
"12","0",10,"0.2","sigma",0.57,"SPIM: collar"
"13","0.3",4,"0.05","N",0.68,"SPIM: collar"
"14","0.3",4,"0.05","sigma",0.72,"SPIM: collar"
"15","0.3",4,"0.2","N",0.57,"SPIM: collar"
"16","0.3",4,"0.2","sigma",0.86,"SPIM: collar"
"17","0.3",10,"0.05","N",0.63,"SPIM: collar"
"18","0.3",10,"0.05","sigma",0.81,"SPIM: collar"
"19","0.3",10,"0.2","N",0.6,"SPIM: collar"
"20","0.3",10,"0.2","sigma",0.67,"SPIM: collar"
"21","0.67",4,"0.05","N",0.78,"SPIM: collar"
"22","0.67",4,"0.05","sigma",0.88,"SPIM: collar"
"23","0.67",4,"0.2","N",0.27,"SPIM: collar"
"24","0.67",4,"0.2","sigma",0.86,"SPIM: collar"
"25","0.67",10,"0.05","N",0.57,"SPIM: collar"
"26","0.67",10,"0.05","sigma",0.85,"SPIM: collar"
"27","0.67",10,"0.2","N",0.31,"SPIM: collar"
"28","0.67",10,"0.2","sigma",0.61,"SPIM: collar"
"29","1",4,"0.05","N",0.61,"SPIM: collar"
"30","1",4,"0.05","sigma",0.89,"SPIM: collar"
"31","1",4,"0.2","N",0.09,"SPIM: collar"
"32","1",4,"0.2","sigma",0.86,"SPIM: collar"
"33","1",10,"0.05","N",0.27,"SPIM: collar"
"34","1",10,"0.05","sigma",0.86,"SPIM: collar"
"35","1",10,"0.2","N",0.12,"SPIM: collar"
"36","1",10,"0.2","sigma",0.65,"SPIM: collar"
"37","0",1,"0.05","N",0.82,"SPIM: sex"
"38","0",1,"0.05","sigma",0.84,"SPIM: sex"
"39","0",1,"0.2","N",0.26,"SPIM: sex"
"40","0",1,"0.2","sigma",0.82,"SPIM: sex"
