"","Model","p0","aggregation","0","0.3","0.67","1"
"1","SC","0.05","1","0.44-0.9 ; 0.62 (0.12)",NA,NA,NA
"2","SC","0.05","4","0.5-1.1 ; 0.73 (0.14)","0.45-1.34 ; 0.77 (0.16)","0.28-1.71 ; 0.53 (0.23)","0.25-1.43 ; 0.4 (0.19)"
"3","SC","0.05","10","0.42-2.2 ; 0.76 (0.33)","0.36-2.49 ; 0.73 (0.41)","0.24-2.32 ; 0.53 (0.38)","0.23-4.15 ; 0.65 (0.7)"
"4","SC","0.2","1","0.3-0.68 ; 0.48 (0.09)",NA,NA,NA
"5","SC","0.2","4","0.34-0.98 ; 0.59 (0.11)","0.45-1.34 ; 0.77 (0.16)","0.26-1.04 ; 0.45 (0.14)","0.22-0.68 ; 0.3 (0.07)"
"6","SC","0.2","10","0.27-3.09 ; 0.7 (0.45)","0.21-2.41 ; 0.63 (0.35)","0.21-1.95 ; 0.35 (0.22)","0.19-0.89 ; 0.29 (0.12)"
"7","SPIM: collar","0.05","1","0.37-0.91 ; 0.59 (0.13)",NA,NA,NA
"8","SPIM: collar","0.05","4","0.35-0.88 ; 0.64 (0.12)","0.08-0.97 ; 0.62 (0.15)","0.28-0.82 ; 0.46 (0.12)","0.21-0.76 ; 0.4 (0.11)"
"9","SPIM: collar","0.05","10","0.28-1.02 ; 0.52 (0.15)","0.26-1.33 ; 0.53 (0.19)","0.19-0.98 ; 0.42 (0.16)","0.12-0.68 ; 0.29 (0.12)"
"10","SPIM: collar","0.2","1","0.18-0.48 ; 0.31 (0.07)",NA,NA,NA
"11","SPIM: collar","0.2","4","0.24-0.51 ; 0.33 (0.05)","0.19-0.48 ; 0.33 (0.06)","0.15-0.41 ; 0.27 (0.05)","0.1-0.38 ; 0.22 (0.06)"
"12","SPIM: collar","0.2","10","0.16-0.41 ; 0.24 (0.04)","0.17-0.34 ; 0.23 (0.04)","0.08-0.36 ; 0.21 (0.05)","0.03-0.31 ; 0.17 (0.06)"
"13","SPIM: sex","0.05","1","0.33-0.96 ; 0.57 (0.13)",NA,NA,NA
"14","SPIM: sex","0.05","4","0.33-1.01 ; 0.61 (0.12)","0.36-1.01 ; 0.59 (0.12)","0.25-0.91 ; 0.47 (0.13)","0.21-0.84 ; 0.4 (0.12)"
"15","SPIM: sex","0.05","10","0.3-0.87 ; 0.5 (0.14)","0.26-1.17 ; 0.52 (0.16)","0.18-0.88 ; 0.4 (0.14)","0.1-0.91 ; 0.3 (0.14)"
"16","SPIM: sex","0.2","1","0.17-0.46 ; 0.32 (0.06)",NA,NA,NA
"17","SPIM: sex","0.2","4","0.22-0.47 ; 0.32 (0.05)","0.22-0.42 ; 0.32 (0.05)","0.15-0.42 ; 0.27 (0.06)","0.1-0.35 ; 0.22 (0.06)"
"18","SPIM: sex","0.2","10","0.17-0.37 ; 0.24 (0.04)","0.17-0.35 ; 0.23 (0.04)","0.09-0.35 ; 0.21 (0.05)","0.04-0.3 ; 0.17 (0.06)"
"19","SPIM: sexcollar","0.05","1","0.28-0.71 ; 0.47 (0.1)",NA,NA,NA
"20","SPIM: sexcollar","0.05","4","0.25-0.79 ; 0.49 (0.09)","0.31-0.75 ; 0.5 (0.09)","0.11-0.73 ; 0.39 (0.11)","0.15-0.67 ; 0.33 (0.1)"
"21","SPIM: sexcollar","0.05","10","0.27-1.12 ; 0.49 (0.15)","0.27-1.09 ; 0.52 (0.15)","0.17-0.99 ; 0.42 (0.14)","0.1-0.71 ; 0.31 (0.13)"
"22","SPIM: sexcollar","0.2","1","0.14-0.5 ; 0.27 (0.06)",NA,NA,NA
"23","SPIM: sexcollar","0.2","4","0.18-0.38 ; 0.28 (0.04)","0.14-0.36 ; 0.26 (0.05)","0.11-0.35 ; 0.22 (0.05)","0.12-0.36 ; 0.24 (0.05)"
"24","SPIM: sexcollar","0.2","10","0.15-0.34 ; 0.23 (0.04)","0.17-0.29 ; 0.22 (0.03)","0.11-0.33 ; 0.21 (0.05)","0.04-0.28 ; 0.17 (0.05)"
"25","SPIM: sexcoat","0.05","1","0.24-0.52 ; 0.38 (0.06)",NA,NA,NA
"26","SPIM: sexcoat","0.05","4","0.21-0.52 ; 0.37 (0.07)","0.23-0.58 ; 0.39 (0.07)","0.16-0.63 ; 0.35 (0.08)","0.18-0.62 ; 0.32 (0.09)"
"27","SPIM: sexcoat","0.05","10","0.26-0.7 ; 0.39 (0.08)","0.21-0.68 ; 0.39 (0.09)","0.13-0.68 ; 0.33 (0.11)","0.11-0.67 ; 0.26 (0.11)"
"28","SPIM: sexcoat","0.2","1","0.19-0.31 ; 0.24 (0.02)",NA,NA,NA
"29","SPIM: sexcoat","0.2","4",NA,"0.16-0.28 ; 0.21 (0.03)","0.14-0.28 ; 0.2 (0.03)","0.11-0.27 ; 0.19 (0.03)"
"30","SPIM: sexcoat","0.2","10","0.14-0.26 ; 0.19 (0.02)","0.13-0.25 ; 0.18 (0.03)","0.13-0.25 ; 0.18 (0.03)","0.06-0.27 ; 0.18 (0.04)"
"31","SPIM: sexcollarcoat","0.05","1","0.25-0.51 ; 0.37 (0.06)",NA,NA,NA
"32","SPIM: sexcollarcoat","0.05","4","0.22-0.55 ; 0.37 (0.06)","0.25-0.65 ; 0.38 (0.07)","0.21-0.53 ; 0.34 (0.07)","0.16-0.59 ; 0.33 (0.09)"
"33","SPIM: sexcollarcoat","0.05","10","0.21-0.62 ; 0.37 (0.08)","0.24-0.65 ; 0.39 (0.09)","0.16-0.68 ; 0.31 (0.1)","0.11-0.69 ; 0.27 (0.12)"
"34","SPIM: sexcollarcoat","0.2","1","0.16-0.34 ; 0.22 (0.03)",NA,NA,NA
