"","Model","p0","aggregation","0","0.3","0.67","1"
"1","SC","0.05","1","0.17-0.24 ; 0.2 (0.01)",NA,NA,NA
"2","SC","0.05","4","0.15-0.23 ; 0.19 (0.02)","0.13-0.25 ; 0.2 (0.02)","0.12-0.39 ; 0.21 (0.06)","0.1-0.36 ; 0.13 (0.03)"
"3","SC","0.05","10","0.09-0.28 ; 0.16 (0.03)","0.09-0.32 ; 0.17 (0.05)","0.08-0.36 ; 0.17 (0.06)","0.09-0.77 ; 0.14 (0.09)"
"4","SC","0.2","1","0.16-0.22 ; 0.18 (0.01)",NA,NA,NA
"5","SC","0.2","4","0.08-0.35 ; 0.15 (0.03)","0.13-0.25 ; 0.2 (0.02)","0.09-0.55 ; 0.17 (0.06)","0.09-0.98 ; 0.16 (0.12)"
"6","SC","0.2","10","0.05-0.19 ; 0.09 (0.02)","0.06-0.46 ; 0.11 (0.05)","0.06-0.61 ; 0.13 (0.08)","0.05-1.28 ; 0.13 (0.13)"
"7","SPIM: collar","0.05","1","0.15-0.24 ; 0.2 (0.02)",NA,NA,NA
"8","SPIM: collar","0.05","4","0.15-0.23 ; 0.19 (0.02)","0-0.26 ; 0.18 (0.03)","0.15-0.24 ; 0.19 (0.02)","0.15-0.27 ; 0.2 (0.02)"
"9","SPIM: collar","0.05","10","0.11-0.25 ; 0.16 (0.03)","0.11-0.22 ; 0.17 (0.03)","0.11-0.36 ; 0.18 (0.03)","0.09-0.29 ; 0.18 (0.04)"
"10","SPIM: collar","0.2","1","0.13-0.2 ; 0.16 (0.01)",NA,NA,NA
"11","SPIM: collar","0.2","4","0.09-0.2 ; 0.13 (0.02)","0.11-0.19 ; 0.14 (0.02)","0.09-0.21 ; 0.13 (0.02)","0.08-0.21 ; 0.14 (0.02)"
"12","SPIM: collar","0.2","10","0.06-0.17 ; 0.1 (0.02)","0.06-0.15 ; 0.1 (0.02)","0.06-0.3 ; 0.11 (0.03)","0.07-0.28 ; 0.12 (0.03)"
"13","SPIM: sex","0.05","1","0.17-0.23 ; 0.2 (0.01)",NA,NA,NA
"14","SPIM: sex","0.05","4","0.13-0.23 ; 0.19 (0.02)","0.14-0.24 ; 0.19 (0.02)","0.15-0.27 ; 0.19 (0.02)","0.14-0.25 ; 0.19 (0.02)"
"15","SPIM: sex","0.05","10","0.1-0.23 ; 0.16 (0.03)","0.12-0.23 ; 0.17 (0.03)","0.12-0.27 ; 0.18 (0.03)","0.09-0.35 ; 0.18 (0.04)"
"16","SPIM: sex","0.2","1","0.12-0.2 ; 0.16 (0.01)",NA,NA,NA
