"","aggregation","p0","param","Model","0","0.3","0.67","1"
"1",1,"0.05","N","SPIM: collar",0.77,NA,NA,NA
"2",1,"0.2","N","SPIM: collar",0.21,NA,NA,NA
"3",4,"0.05","N","SPIM: collar",0.65,0.68,0.78,0.61
"4",4,"0.2","N","SPIM: collar",0.6,0.57,0.27,0.09
"5",10,"0.05","N","SPIM: collar",0.29,0.63,0.57,0.27
"6",10,"0.2","N","SPIM: collar",0.55,0.6,0.31,0.12
"7",1,"0.05","N","SPIM: sex",0.82,NA,NA,NA
"8",1,"0.2","N","SPIM: sex",0.26,NA,NA,NA
"9",4,"0.05","N","SPIM: sex",0.74,0.82,0.79,0.51
"10",4,"0.2","N","SPIM: sex",0.68,0.57,0.29,0.12
"11",10,"0.05","N","SPIM: sex",0.35,0.69,0.53,0.29
"12",10,"0.2","N","SPIM: sex",0.53,0.62,0.29,0.12
"13",1,"0.05","N","SPIM: sexcollar",0.95,NA,NA,NA
"14",1,"0.2","N","SPIM: sexcollar",0.57,NA,NA,NA
"15",4,"0.05","N","SPIM: sexcollar",0.84,0.86,0.86,0.74
"16",4,"0.2","N","SPIM: sexcollar",0.75,0.68,0.35,0.17
"17",10,"0.05","N","SPIM: sexcollar",0.45,0.72,0.62,0.3
"18",10,"0.2","N","SPIM: sexcollar",0.59,0.64,0.33,0.15
"19",1,"0.05","N","SPIM: sexcoat",0.94,NA,NA,NA
"20",1,"0.2","N","SPIM: sexcoat",0.84,NA,NA,NA
"21",4,"0.05","N","SPIM: sexcoat",0.89,0.95,0.85,0.74
"22",10,"0.05","N","SPIM: sexcoat",0.84,0.86,0.73,0.42
"23",10,"0.2","N","SPIM: sexcoat",0.66,0.68,0.45,0.22
"24",4,"0.2","N","SPIM: sexcoat",NA,0.71,0.5,0.4
"25",1,"0.05","N","SPIM: sexcollarcoat",0.85,NA,NA,NA
"26",1,"0.2","N","SPIM: sexcollarcoat",0.84,NA,NA,NA
"27",4,"0.05","N","SPIM: sexcollarcoat",0.89,0.95,0.86,0.74
"28",4,"0.2","N","SPIM: sexcollarcoat",0.8,0.81,0.67,0.47
"29",10,"0.05","N","SPIM: sexcollarcoat",0.83,0.86,0.66,0.4
"30",10,"0.2","N","SPIM: sexcollarcoat",0.72,0.67,0.5,0.26
"31",1,"0.05","N","SPIM: antlerssexcollarcoat",0.91,NA,NA,NA
"32",1,"0.2","N","SPIM: antlerssexcollarcoat",0.95,NA,NA,NA
"33",4,"0.05","N","SPIM: antlerssexcollarcoat",0.87,0.9,0.82,0.62
"34",4,"0.2","N","SPIM: antlerssexcollarcoat",0.8,0.87,0.79,0.65
"35",10,"0.05","N","SPIM: antlerssexcollarcoat",0.86,0.82,0.65,0.45
"36",10,"0.2","N","SPIM: antlerssexcollarcoat",0.62,0.65,0.58,0.45
"37",1,"0.05","N","SC",0.9,NA,NA,NA
"38",1,"0.2","N","SC",0.95,NA,NA,NA
"39",4,"0.05","N","SC",0.62,0.56,0.11,0
"40",4,"0.2","N","SC",0.27,0.56,0.47,0.57
"41",10,"0.05","N","SC",0.08,0.06,0,0
"42",10,"0.2","N","SC",0.02,0,0.09,0.01
