"","aggregation","p0","param","Model","0","0.3","0.67","1"
"1",1,"0.05","sigma","SPIM: collar",0.78,NA,NA,NA
"2",1,"0.2","sigma","SPIM: collar",0.75,NA,NA,NA
"3",4,"0.05","sigma","SPIM: collar",0.68,0.72,0.88,0.89
"4",4,"0.2","sigma","SPIM: collar",0.76,0.86,0.86,0.86
"5",10,"0.05","sigma","SPIM: collar",0.69,0.81,0.85,0.86
"6",10,"0.2","sigma","SPIM: collar",0.57,0.67,0.61,0.65
"7",1,"0.05","sigma","SPIM: sex",0.84,NA,NA,NA
"8",1,"0.2","sigma","SPIM: sex",0.82,NA,NA,NA
"9",4,"0.05","sigma","SPIM: sex",0.81,0.89,0.92,0.84
"10",4,"0.2","sigma","SPIM: sex",0.88,0.9,0.85,0.86
"11",10,"0.05","sigma","SPIM: sex",0.77,0.86,0.83,0.89
"12",10,"0.2","sigma","SPIM: sex",0.62,0.69,0.62,0.64
"13",1,"0.05","sigma","SPIM: sexcollar",0.96,NA,NA,NA
"14",1,"0.2","sigma","SPIM: sexcollar",0.91,NA,NA,NA
"15",4,"0.05","sigma","SPIM: sexcollar",0.9,0.9,0.93,0.97
"16",4,"0.2","sigma","SPIM: sexcollar",0.86,0.92,0.88,0.86
"17",10,"0.05","sigma","SPIM: sexcollar",0.81,0.86,0.94,0.83
"18",10,"0.2","sigma","SPIM: sexcollar",0.6,0.69,0.62,0.61
"19",1,"0.05","sigma","SPIM: sexcoat",0.95,NA,NA,NA
"20",1,"0.2","sigma","SPIM: sexcoat",0.93,NA,NA,NA
"21",4,"0.05","sigma","SPIM: sexcoat",0.96,0.98,0.95,0.95
"22",10,"0.05","sigma","SPIM: sexcoat",0.97,0.96,0.88,0.83
"23",10,"0.2","sigma","SPIM: sexcoat",0.75,0.82,0.62,0.57
"24",4,"0.2","sigma","SPIM: sexcoat",NA,0.87,0.84,0.78
"25",1,"0.05","sigma","SPIM: sexcollarcoat",0.87,NA,NA,NA
"26",1,"0.2","sigma","SPIM: sexcollarcoat",0.94,NA,NA,NA
"27",4,"0.05","sigma","SPIM: sexcollarcoat",0.95,0.98,0.95,0.86
"28",4,"0.2","sigma","SPIM: sexcollarcoat",0.91,0.9,0.9,0.84
"29",10,"0.05","sigma","SPIM: sexcollarcoat",0.94,0.95,0.89,0.82
"30",10,"0.2","sigma","SPIM: sexcollarcoat",0.79,0.8,0.66,0.57
"31",1,"0.05","sigma","SPIM: antlerssexcollarcoat",0.97,NA,NA,NA
"32",1,"0.2","sigma","SPIM: antlerssexcollarcoat",0.95,NA,NA,NA
"33",4,"0.05","sigma","SPIM: antlerssexcollarcoat",0.94,0.99,0.88,0.82
"34",4,"0.2","sigma","SPIM: antlerssexcollarcoat",0.93,0.86,0.79,0.72
"35",10,"0.05","sigma","SPIM: antlerssexcollarcoat",0.98,0.97,0.88,0.64
"36",10,"0.2","sigma","SPIM: antlerssexcollarcoat",0.92,0.88,0.62,0.44
"37",1,"0.05","sigma","SC",0.91,NA,NA,NA
"38",1,"0.2","sigma","SC",0.95,NA,NA,NA
"39",4,"0.05","sigma","SC",0.93,0.92,0.27,0
"40",4,"0.2","sigma","SC",0.96,0.92,0.3,0.01
"41",10,"0.05","sigma","SC",0.96,0.77,0.08,0.01
"42",10,"0.2","sigma","SC",0.87,0.72,0,0
