"","Model","p0","aggregation","0","0.3","0.67","1"
"1","SC","0.05","1","-0.86-0.64 ; 0.14 (0.32)",NA,NA,NA
"2","SC","0.05","4","-0.85-0.4 ; -0.39 (0.38)","-0.92-0.04 ; -0.53 (0.27)","-0.88--0.39 ; -0.67 (0.12)","-0.94--0.46 ; -0.76 (0.09)"
"3","SC","0.05","10","-0.95--0.01 ; -0.82 (0.17)","-0.97--0.34 ; -0.82 (0.1)","-0.95--0.52 ; -0.79 (0.08)","-0.98--0.72 ; -0.88 (0.06)"
"4","SC","0.2","1","-0.54-1.02 ; 0.34 (0.34)",NA,NA,NA
"5","SC","0.2","4","-0.9-0.41 ; -0.61 (0.21)","-0.92-0.04 ; -0.53 (0.27)","-0.84-0.56 ; -0.47 (0.24)","-0.72-0.17 ; -0.34 (0.2)"
"6","SC","0.2","10","-0.96--0.44 ; -0.86 (0.08)","-0.96--0.47 ; -0.84 (0.08)","-0.93--0.12 ; -0.63 (0.17)","-0.91--0.03 ; -0.66 (0.15)"
"7","SPIM: collar","0.05","1","-0.75-1.64 ; 0.78 (0.49)",NA,NA,NA
"8","SPIM: collar","0.05","4","-0.74-1.66 ; 0.25 (0.61)","-0.7-2.94 ; 0.34 (0.68)","-0.5-2 ; 0.97 (0.7)","-0.43-2.33 ; 1.25 (0.69)"
"9","SPIM: collar","0.05","10","-0.88-1.27 ; -0.47 (0.44)","-0.8-1.71 ; -0.05 (0.61)","-0.52-2.39 ; 0.94 (0.8)","-0.77-2.71 ; 1.53 (0.98)"
"10","SPIM: collar","0.2","1","0.24-2.42 ; 1.68 (0.49)",NA,NA,NA
"11","SPIM: collar","0.2","4","-0.61-1.98 ; 0.46 (0.63)","-0.39-2.33 ; 0.87 (0.63)","-0.31-2.56 ; 1.32 (0.73)","0.2-2.88 ; 1.82 (0.75)"
"12","SPIM: collar","0.2","10","-0.69-1.72 ; -0.1 (0.44)","-0.62-1.81 ; 0.07 (0.53)","-0.52-2.91 ; 1 (0.87)","-0.33-3.13 ; 1.85 (0.96)"
"13","SPIM: sex","0.05","1","-0.62-1.75 ; 0.82 (0.55)",NA,NA,NA
"14","SPIM: sex","0.05","4","-0.7-1.46 ; 0.32 (0.6)","-0.66-1.64 ; 0.42 (0.62)","-0.43-2.12 ; 0.95 (0.71)","-0.41-2.31 ; 1.27 (0.71)"
"15","SPIM: sex","0.05","10","-0.85-1.11 ; -0.44 (0.42)","-0.89-1.53 ; -0.01 (0.62)","-0.49-2.4 ; 0.98 (0.81)","-0.78-2.84 ; 1.52 (0.98)"
"16","SPIM: sex","0.2","1","0.11-2.51 ; 1.56 (0.54)",NA,NA,NA
"17","SPIM: sex","0.2","4","-0.55-2.14 ; 0.53 (0.71)","-0.51-2.21 ; 0.86 (0.65)","-0.23-2.58 ; 1.31 (0.75)","0.03-2.81 ; 1.74 (0.72)"
"18","SPIM: sex","0.2","10","-0.78-1.82 ; -0.07 (0.5)","-0.63-1.56 ; 0.07 (0.52)","-0.55-2.87 ; 1.02 (0.87)","-0.37-3.12 ; 1.82 (0.95)"
"19","SPIM: sexcollar","0.05","1","-0.58-0.99 ; 0.38 (0.36)",NA,NA,NA
"20","SPIM: sexcollar","0.05","4","-0.71-1.06 ; 0.12 (0.44)","-0.64-0.92 ; 0.13 (0.4)","-0.45-1.51 ; 0.51 (0.45)","-0.47-1.4 ; 0.69 (0.45)"
