"","Model","p0","aggregation","0","0.3","0.67","1"
"1","SC","0.05","1","-0.16-0.04 ; -0.04 (0.04)",NA,NA,NA
"2","SC","0.05","4","-0.25-0.12 ; -0.05 (0.07)","-0.41-0.18 ; -0.09 (0.09)","-0.65--0.02 ; -0.41 (0.15)","-0.72--0.52 ; -0.65 (0.04)"
"3","SC","0.05","10","-0.23-0.24 ; -0.03 (0.09)","-0.49-0.19 ; -0.17 (0.13)","-0.74--0.16 ; -0.53 (0.13)","-0.74--0.39 ; -0.68 (0.06)"
"4","SC","0.2","1","-0.15-0.12 ; 0 (0.05)",NA,NA,NA
"5","SC","0.2","4","-0.26-0.35 ; -0.02 (0.1)","-0.41-0.18 ; -0.09 (0.09)","-0.56-0.05 ; -0.34 (0.15)","-0.73--0.17 ; -0.62 (0.07)"
"6","SC","0.2","10","-0.26-0.22 ; -0.01 (0.09)","-0.55-0.16 ; -0.1 (0.12)","-0.69--0.22 ; -0.52 (0.1)","-0.77--0.6 ; -0.7 (0.04)"
"7","SPIM: collar","0.05","1","-0.15-0.05 ; -0.04 (0.04)",NA,NA,NA
"8","SPIM: collar","0.05","4","-0.26-0.14 ; -0.06 (0.07)","-1.14-0.1 ; -0.07 (0.14)","-0.31-0.14 ; -0.06 (0.07)","-0.35-0.21 ; -0.05 (0.08)"
"9","SPIM: collar","0.05","10","-0.27-0.14 ; -0.08 (0.08)","-0.3-0.19 ; -0.1 (0.09)","-0.39-0.18 ; -0.09 (0.1)","-0.47-0.3 ; -0.04 (0.15)"
"10","SPIM: collar","0.2","1","-0.08-0.18 ; 0.04 (0.06)",NA,NA,NA
"11","SPIM: collar","0.2","4","-0.21-0.18 ; -0.05 (0.09)","-0.28-0.2 ; -0.05 (0.1)","-0.28-0.19 ; -0.04 (0.1)","-0.35-0.29 ; -0.03 (0.14)"
"12","SPIM: collar","0.2","10","-0.28-0.28 ; -0.12 (0.1)","-0.28-0.33 ; -0.11 (0.11)","-0.39-0.44 ; -0.12 (0.15)","-0.48-0.42 ; -0.09 (0.19)"
"13","SPIM: sex","0.05","1","-0.13-0.04 ; -0.04 (0.04)",NA,NA,NA
"14","SPIM: sex","0.05","4","-0.21-0.1 ; -0.07 (0.06)","-0.2-0.15 ; -0.05 (0.05)","-0.28-0.15 ; -0.06 (0.06)","-0.39-0.2 ; -0.05 (0.09)"
"15","SPIM: sex","0.05","10","-0.35-0.16 ; -0.07 (0.1)","-0.29-0.14 ; -0.1 (0.09)","-0.34-0.17 ; -0.08 (0.1)","-0.53-0.28 ; -0.04 (0.16)"
"16","SPIM: sex","0.2","1","-0.11-0.21 ; 0.04 (0.06)",NA,NA,NA
"17","SPIM: sex","0.2","4","-0.19-0.19 ; -0.04 (0.08)","-0.26-0.25 ; -0.05 (0.1)","-0.26-0.22 ; -0.04 (0.1)","-0.37-0.25 ; -0.04 (0.14)"
"18","SPIM: sex","0.2","10","-0.31-0.28 ; -0.11 (0.11)","-0.3-0.66 ; -0.09 (0.15)","-0.37-0.46 ; -0.12 (0.15)","-0.47-0.48 ; -0.09 (0.19)"
"19","SPIM: sexcollar","0.05","1","-0.2-0.08 ; -0.03 (0.06)",NA,NA,NA
"20","SPIM: sexcollar","0.05","4","-0.24-0.08 ; -0.05 (0.07)","-0.23-0.11 ; -0.05 (0.06)","-1.33-0.14 ; -0.06 (0.15)","-0.39-0.25 ; -0.04 (0.1)"
"21","SPIM: sexcollar","0.05","10","-0.37-0.13 ; -0.08 (0.09)","-0.31-0.17 ; -0.1 (0.09)","-0.5-0.19 ; -0.09 (0.11)","-0.55-0.31 ; -0.06 (0.16)"
"22","SPIM: sexcollar","0.2","1","-0.11-0.21 ; 0.06 (0.08)",NA,NA,NA
